SourceProtocol,SourceIP,SourcePort,SourceDeviceID,SourceAddress,SourceDesc,SourcePointType,DataType,TargetAddress,TargetDesc,SourceDataype
---,---,---,,---,---,---,---,---,---,
modbus_tcp1,10.70.60.25,,,1,FZ-02,ir,,1,,int16
modbus_tcp1,10.70.60.25,,,2,RF-18,ir,,3,,int16
,10.70.60.25,,,3,,,,5,,
,10.70.60.25,,,4,,,,7,,
,10.70.60.25,,,5,,,,9,,
,10.70.60.25,,,6,,,,11,,
,10.70.60.25,,,7,,,,13,,
,10.70.60.25,,,8,,,,15,,
,10.70.60.25,,,9,,,,17,,
,10.70.60.25,,,10,,,,19,,
---,---,---,,---,---,---,---,---,---,
modbus_tcp1,10.70.60.26,,,1,IB-05,ir,,21,,int16
modbus_tcp1,10.70.60.26,,,2,IB-06,ir,,23,,int16
modbus_tcp1,10.70.60.26,,,3,IB-07,ir,,25,,int16
modbus_tcp1,10.70.60.26,,,4,IB-09,ir,,27,,int16
modbus_tcp1,10.70.60.26,,,5,IB-10,ir,,29,,int16
,10.70.60.26,,,6,,,,31,,
,10.70.60.26,,,7,,,,33,,
,10.70.60.26,,,8,,,,35,,
,10.70.60.26,,,9,,,,37,,
,10.70.60.26,,,10,,,,39,,
---,---,---,,---,---,---,---,---,---,
modbus_tcp1,10.70.60.27,,,1,IB-08,ir,,41,,int16
modbus_tcp1,10.70.60.27,,,2,IB-03,ir,,43,,int16
modbus_tcp1,10.70.60.27,,,3,IB-02,ir,,45,,int16
modbus_tcp1,10.70.60.27,,,4,IB-01,ir,,47,,int16
modbus_tcp1,10.70.60.27,,,5,RF-17,ir,,49,,int16
modbus_tcp1,10.70.60.27,,,6,TSC-01,ir,,51,,int16
modbus_tcp1,10.70.60.27,,,7,TSC-02,ir,,53,,int16
